date,price,open,high,low,volume,relative_change
2024-06-30,5564.41,5473.88,5669.95,5445.66,,0.019
2024-05-31,5460.48,5297.15,5523.64,5234.32,,0.0347
2024-04-30,5277.51,5029.03,5341.88,5011.05,,0.048
2024-03-31,5035.69,5257.97,5263.95,4953.56,,-0.0416
2024-02-29,5254.35,5098.51,5264.85,5056.82,,0.031
2024-01-31,5096.27,4861.11,5111.06,4853.52,,0.0517
2023-12-31,4845.65,4745.2,4931.09,4682.11,,0.0159
2023-11-30,4769.83,4559.43,4793.3,4546.5,,0.0442
2023-10-31,4567.8,4201.27,4587.64,4197.74,,0.0892
2023-09-30,4193.8,4284.52,4393.57,4103.78,,-0.022
2023-08-31,4288.05,4530.6,4541.25,4238.63,,-0.0487
2023-07-31,4507.66,4578.83,4584.62,4335.31,,-0.0177
2023-06-30,4588.96,4450.48,4607.07,4385.05,,0.0311
2023-05-31,4450.38,4183.03,4458.48,4171.64,,0.0647
2023-04-30,4179.83,4166.79,4231.1,4048.28,,0.0025
2023-03-31,4169.48,4102.2,4170.06,4049.35,,0.0146
2023-02-28,4109.31,3963.34,4110.75,3808.86,,0.0351
2023-01-31,3970.15,4070.07,4195.44,3943.08,,-0.0261
2022-12-31,4076.6,3853.29,4094.21,3794.33,,0.0618
2022-11-30,3839.5,4087.14,4100.96,3764.49,,-0.059
2022-10-31,4080.11,3901.79,4080.11,3698.15,,0.0538
2022-09-30,3871.98,3609.78,3905.42,3491.58,,0.0799
2022-08-31,3585.62,3936.73,4119.28,3584.13,,-0.0934
2022-07-31,3955,4112.38,4325.28,3954.53,,-0.0424
2022-06-30,4130.29,3781,4140.15,3721.56,,0.0911
2022-05-31,3785.38,4149.78,4177.51,3636.87,,-0.0839
2022-04-30,4132.15,4130.61,4307.66,3810.32,,0.0001
2022-03-31,4131.93,4540.32,4593.45,4124.28,,-0.088
2022-02-28,4530.41,4363.14,4637.3,4157.87,,0.0358
2022-01-31,4373.94,4519.57,4595.31,4114.65,,-0.0314
2021-12-31,4515.55,4778.14,4818.62,4222.62,,-0.0526
2021-11-30,4766.18,4602.82,4808.93,4495.12,,0.0436
2021-10-31,4567,4610.62,4743.83,4560,,-0.0083
2021-09-30,4605.38,4317.16,4608.08,4278.94,,0.0691
2021-08-31,4307.54,4528.8,4545.85,4305.91,,-0.0476
2021-07-31,4522.68,4406.86,4537.36,4367.73,,0.029
2021-06-30,4395.26,4300.73,4429.97,4233.13,,0.0227
2021-05-31,4297.5,4216.52,4302.43,4164.4,,0.0222
2021-04-30,4204.11,4191.98,4238.04,4056.88,,0.0055
2021-03-31,4181.17,3992.78,4218.78,3992.78,,0.0524
2021-02-28,3972.89,3842.51,3994.41,3723.34,,0.0424
2021-01-31,3811.15,3731.17,3950.43,3725.62,,0.0261
2020-12-31,3714.24,3764.61,3870.9,3662.71,,-0.0111
2020-11-30,3756.07,3645.87,3760.2,3633.4,,0.0371
2020-10-31,3621.63,3296.2,3645.99,3279.74,,0.1075
2020-09-30,3269.96,3385.87,3549.85,3233.94,,-0.0277
2020-08-31,3363,3507.44,3588.11,3209.45,,-0.0392
2020-07-31,3500.31,3288.26,3514.77,3284.53,,0.0701
2020-06-30,3271.12,3105.92,3279.99,3101.17,,0.0551
2020-05-31,3100.29,3038.78,3233.13,2965.66,,0.0184
2020-04-30,3044.31,2869.09,3068.67,2766.64,,0.0453
2020-03-31,2912.43,2498.08,2954.86,2447.49,,0.1268
2020-02-29,2584.59,2974.28,3136.72,2191.86,,-0.1251
2020-01-31,2954.22,3235.66,3393.52,2855.84,,-0.0841
2019-12-31,3225.52,3244.67,3337.77,3214.64,,-0.0016
2019-11-30,3230.78,3143.85,3247.93,3070.33,,0.0286
2019-10-31,3140.98,3050.72,3154.26,3050.72,,0.034
2019-09-30,3037.56,2983.69,3050.1,2855.94,,0.0204
2019-08-31,2976.74,2909.01,3021.99,2891.85,,0.0172
2019-07-31,2926.46,2980.32,3013.59,2822.12,,-0.0181
2019-06-30,2980.38,2971.41,3027.98,2952.22,,0.0131
2019-05-31,2941.76,2751.53,2964.15,2728.81,,0.0689
2019-04-30,2752.06,2952.33,2954.13,2750.52,,-0.0658
2019-03-31,2945.83,2848.63,2949.52,2848.63,,0.0393
2019-02-28,2834.4,2798.22,2860.31,2722.27,,0.0179
2019-01-31,2784.49,2702.32,2813.49,2681.83,,0.0297
2018-12-31,2704.1,2476.96,2708.95,2443.96,,0.0787
2018-11-30,2506.85,2790.5,2800.18,2346.58,,-0.0918
2018-10-31,2760.17,2717.58,2815.15,2631.09,,0.0179
2018-09-30,2711.74,2926.29,2939.86,2603.54,,-0.0694
2018-08-31,2913.98,2896.96,2940.91,2864.12,,0.0043
2018-07-31,2901.52,2821.17,2916.5,2796.34,,0.0303
2018-06-30,2816.29,2704.95,2848.03,2698.95,,0.036
2018-05-31,2718.37,2718.7,2791.47,2691.99,,0.0048
2018-04-30,2705.27,2643.64,2742.24,2594.62,,0.0216
2018-03-31,2648.05,2633.45,2717.49,2553.8,,0.0027
2018-02-28,2640.87,2715.22,2801.9,2585.89,,-0.0269
2018-01-31,2713.83,2816.45,2835.96,2532.69,,-0.0389
2017-12-31,2823.81,2683.73,2872.87,2682.36,,0.0562
2017-11-30,2673.61,2645.1,2694.97,2605.52,,0.0098
2017-10-31,2647.58,2583.21,2657.74,2557.45,,0.0281
2017-09-30,2575.26,2521.2,2582.98,2520.4,,0.0222
2017-08-31,2519.36,2474.42,2519.44,2446.55,,0.0193
2017-07-31,2471.65,2477.1,2490.87,2417.35,,0.0005
2017-06-30,2470.3,2431.39,2484.04,2407.7,,0.0193
2017-05-31,2423.41,2415.65,2453.82,2405.7,,0.0048
2017-04-30,2411.8,2388.5,2418.71,2352.72,,0.0116
2017-03-31,2384.2,2362.34,2398.16,2328.95,,0.0091
2017-02-28,2362.72,2380.13,2400.98,2322.25,,-0.0004
2017-01-31,2363.64,2285.59,2371.54,2271.65,,0.0372
2016-12-31,2278.87,2251.57,2300.99,2245.13,,0.0179
2016-11-30,2238.83,2200.17,2277.53,2187.44,,0.0182
2016-10-31,2198.81,2128.68,2214.1,2083.79,,0.0342
2016-09-30,2126.15,2164.33,2169.6,2114.72,,-0.0194
2016-08-31,2168.27,2171.33,2187.87,2119.12,,-0.0012
2016-07-31,2170.95,2173.15,2193.81,2147.58,,-0.0012
